Tweet,Sentiment
"I liked a @YouTube video https://t.co/SQ4hnv2vaZ His So-Called Ruined Life: Brett Kavanaugh | September 26, 2018 Act 2 | Full Frontal",neutral
@cherylsperling @TheFive I stand with both women and men. I don't believe her. His life indicates that he is not a https://t.co/hc8Bm7iVbj,negative
This is waiting for you at Steel Beauty Hair Spa!  Some only see life thru Rose Colored glasses! 386-338-3268 https://t.co/DKv8o2MuRr,positive
the moral of this film is that kids should stay in school because if you don't your whole life will be ruined and y https://t.co/fPKUWs15vv,negative
For the first time in my 23 years of life I can honestly say with hand on my heart that I would not take ONE Manche https://t.co/BdrEzkKVRZ,negative
@yeahbuddychic Life be focking ehnnn,neutral
Grilled Steak Kebabs https://t.co/Vx20i8Ik92,neutral
@myrtle @MrsAmy47 @bmeier79 @GeorgeTakei @BrettKavanaugh Well then one more investigation wont hurt since he would https://t.co/ZwpBLQHgxD,neutral
"my cousin is going to be a pilot,
my friends are graduating,
some are gonna live abroad,

when will I get a shot at the good parts of life?",negative
How many people get out of a swimming pool and put dry clothes on over their wet swimming suit? I'm genuinely curio https://t.co/KnYLmOQ2oW,negative
@RedsGoMarchin  just hope they dont fire him.... ,neutral
"@AnaCabrera as a mother of two adult daughters I was brutally raped in my youth, you move with life. It is distress https://t.co/yhFBE00suQ",negative
Summary of my degree life  https://t.co/nL0qM4qEbR,neutral
Lifes a bitch and then ya die. Thats why we get high cause you never know when you gonna go,negative
"Not quite mirror - he has two block golems, and a sure hands ghoul, and a MB wolf.  Variety is the spice of (un)lif https://t.co/L8QSYXhZl5",neutral
@Judge_Kavanaugh may not remember attacking Dr. Ford; if he and his friend were drunk! Its wholly possible that th https://t.co/y4M3f5XT2k,negative
Everyone should have an Oh shit bank account for all the Oh shit moments in life,negative
@Paulhmar10 @TeamKhabib I'm a muslim and never heard a word from what u say in my life  every word is wrong don't https://t.co/vwFk9GypFh,negative
"Should the Lord tarry and give us life, here are our plans for next year. https://t.co/cNGpoWoVFV",neutral
Louis accent is my entire life. I could listen to him talk forever and ever. ,negative
"Shooting in #Utah just took an American life. #POTUS, please do something. #BackfireTrump https://t.co/M8hTonSeBD",neutral
"@TrueHipHopHere @Southpawer @kanyewest Actually it helped him , ye album did much better than the life of Pablo , h https://t.co/OzQjlXU2AP",positive
5 s  First Fruits is very inspiring. I started looking at my own life after reading this book and knew I could https://t.co/H2dRRW4JhT,positive
When life doesnt work how you want it too..,negative
"When I was challenged with Standards based/mastery learning philosophies, my life as a teacher completely changed. https://t.co/QKQhOPZd47",neutral
Life is the only form of existence that first gives you the test and then teaches you the lesson https://t.co/EVdcxX2Fv6,neutral
We can walk &amp; hold hands talk some real shit tell my life story make you feel a bitch real quick,negative
I hope that I see the world as you did cause I know a life with love is a life that's been lived,positive
"The United team really going by their name. The Red 'Devils' ampa!!! 
Making life hell for Jose 
#WHUMUN
#CitiSports 
#Eplroadshow",positive
"Fake friends are like shadows, always near you at your brightest moments, but nowhere to be seen at your darkest hours.",negative
dear #JR so sorry for rarely tweeting about u nowadays..i guess im too busy working n living my own life.. ok that https://t.co/b5LVhXEi2M,negative
