,Tweet,Sentiment,Custom_Sentiments,Count,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,A,very,neutral,0,told,me,that,someone,was,acting,weird,because,of,something,I,said,during,a,black,out,way,after,https://t.co/MH6iWocnKe,negative
1,"@OBJnSlAY Hasanayn (ra) being sayyid al-shabaab fil jannah, the charitable nature of Ali (ra) and Fathima (ra), the https://t.co/Kk6RzhOHPs",neutral,neutral,0,,,,,,,,,,,,,,,,,,,,
2,"#Capricorn's like smart people by nature, not by diplomas.",negative,negative,-1,,,,,,,,,,,,,,,,,,,,
3,"Fancy a trip to the nature reserve to enjoy the delights of autumn?
We have one space left on our next guided walk https://t.co/ocMIQTez5s",neutral,neutral,0,,,,,,,,,,,,,,,,,,,,
4,"#Chateaulafauriepeyraguey = Wine, Crystal, Gastronomy and Hospitality
https://t.co/rXhzzDLR4J
#luxury https://t.co/FIoO0MGB1j",neutral,neutral,0,,,,,,,,,,,,,,,,,,,,
5,I,couldnt,neutral,0,SLUT,even,if,I,tried,its,not,in,my,nature,negative,,,,,,,,,
6,"@RubysBubys Thats the nature I use

But +spd is also fun because it gives her 4 more instead of 3",positive,positive,2,,,,,,,,,,,,,,,,,,,,
7,Final,day,neutral,0,your,submission,in,to,BES,annual,photography,competition,'Capturing,Ecology'!,Remember,this,year,t,https://t.co/P4YUp0DTCM,neutral,,,,
8,Innovation,redefines,neutral,0,https://t.co/lOtCN7Mws0,neutral,,,,,,,,,,,,,,,,,,
9,"'Walking is man's best medicine'  -Hippocrates
#Walking reghularly can cause major reductions in both diabetes and https://t.co/1i355moXNh",neutral,neutral,0,,,,,,,,,,,,,,,,,,,,
